,,,,,,,,,,,,,,,,,,,
,BaseLine,,,Word embedding,,,,,Feature Extraction with Pre-trained model,,,,,SSL(mask600),,SBERT Fine-tuning,,SBERT Fine-tuning,
,Levenshtein,BOW,tfidf,w2v,glove,fasttext,elmo,bert(cased),bert(uncased),gpt,sbert,t5,xlnet,bert(cased),bert(uncased),Levenshtein(18000),Levenshtein(1800),edit similarity(18000),edit similarity(1800)
Group1 - Group1,0.78843265,1,1,1,1,1,0.99589705,0.9971658,0.98441672,0.999291,0.98951513,0.9985554,0.99897003,0.84419864,0.87452596,0.77634996,0.86109763,0.9283703,0.98808557
Group1 - Group2,0.75646643,0.95711048,0.93217151,0.97804201,0.99680591,0.98065186,0.98856896,0.99324638,0.95964354,0.9989205,0.9628697,0.9930951,0.99790066,0.83771873,0.87258732,0.70031404,0.77198547,0.88277519,0.94386983
Group1 - Group3,0.70630381,0.84082237,0.73278585,0.82415771,0.97853446,0.82910109,0.96873474,0.9847489,0.91074246,0.99834353,0.91250193,0.98440295,0.99569494,0.82596201,0.86393154,0.62903994,0.68093139,0.82304925,0.80180001
Group1 - Group4,0.63141503,0.97991578,0.96888458,0.99557227,0.99576545,0.99592686,0.98408967,0.97752225,0.91833544,0.99726522,0.90923613,0.99485779,0.99809659,0.83397305,0.86671317,0.30305019,0.29826051,0.76180714,0.78815114
Group1 - Group5,0.63046545,0.94838576,0.91394503,0.97284807,0.99383859,0.9747203,0.98322111,0.97952336,0.92161369,0.99837166,0.90115917,0.98368984,0.99796915,0.84084046,0.86629558,0.29385933,0.25707501,0.75690877,0.77369833
Group1 - Group6,0.6142472,0.84755838,0.73900172,0.82823789,0.97782449,0.82989824,0.96917373,0.97744179,0.897879948,0.9983663,0.87727988,0.98453575,0.99739939,0.83733439,0.86936599,0.27642447,0.23810615,0.73085809,0.60258859
Group2 - Group2,0.74987514,0.97007336,0.9539118,0.98461604,0.99792582,0.98623806,0.98998934,0.9933424,0.95735645,0.99882352,0.96512508,0.99558103,0.99776554,0.83977616,0.87524396,0.68837893,0.7805711,0.88650751,0.95176208
Group2 - Group3,0.7100797,0.89499346,0.79174779,0.89171737,0.98763447,0.89021522,0.97357315,0.9867503,0.92373943,0.99836874,0.93304932,0.99017882,0.99606931,0.83074766,0.8672626,0.63567698,0.7076239,0.84747577,0.87772673
Group2 - Group4,0.61731961,0.93513912,0.90155068,0.97993797,0.99173899,0.9830969,0.97257781,0.97112519,0.88873625,0.99718952,0.87293875,0.99185604,0.9967497,0.82336366,0.86577493,0.28265548,0.24495715,0.73102343,0.75067461
Group2 - Group5,0.62430348,0.95890636,0.93571473,0.98480803,0.99439995,0.98610342,0.98154014,0.97687024,0.91884327,0.99827188,0.88414061,0.99098176,0.99706858,0.83313298,0.86711162,0.28275436,0.29047441,0.7445876,0.76278567
Group2 - Group6,0.61303696,0.89325184,0.78793142,0.89662111,0.99326289,0.89186096,0.97263789,0.97593164,0.90638798,0.99823439,0.87556326,0.99112821,0.99672794,0.83206278,0.87205642,0.26828846,0.25249526,0.73215872,0.65729588
Group3 - Group3,0.71652799,0.94754781,0.88829434,0.97386789,0.9967742,0.97241241,0.97179335,0.98887068,0.94348955,0.99850732,0.94392794,0.99085009,0.99620163,0.83067667,0.8661586,0.65251207,0.77330655,0.87726778,0.94869655
Group3 - Group4,0.59769216,0.81422148,0.70234891,0.83502215,0.97106771,0.84546101,0.95182228,0.95702195,0.83422774,0.99746937,0.8032198,0.98278165,0.99385917,0.80625224,0.85654461,0.25199154,0.19204724,0.70326018,0.664976
Group3 - Group5,0.60506453,0.87836842,0.77161798,0.90138817,0.98230365,0.90526611,0.9641338,0.96433836,0.88044631,0.99786913,0.8293345,0.9855637,0.99434686,0.81820852,0.86932648,0.25468501,0.23413037,0.72004384,0.70800954
Group3 - Group6,0.61277752,0.93970216,0.89008379,0.97737932,0.99326289,0.97694021,0.96922463,0.97020841,0.91547966,0.99798113,0.85813242,0.98970145,0.99492425,0.82150155,0.86819112,0.26694867,0.31313813,0.73560584,0.73169202
Group4 - Group4,0.76136601,1,1,1,1,1,0.99716961,0.99589431,0.98699629,0.99947166,0.99033982,0.99896699,0.99985647,0.85040325,0.87896562,0.79331201,0.81391525,0.9750666,0.98732239
Group4 - Group5,0.7353943,0.96652602,0.94222203,0.98373234,0.99719179,0.9856658,0.98946369,0.9907217,0.95215207,0.99795955,0.97566134,0.99112225,0.99958938,0.85136735,0.87710565,0.74621296,0.7189579,0.94939345,0.96194553
Group4 - Group6,0.68967341,0.86346964,0.76524119,0.84736496,0.97902497,0.85383409,0.97192073,0.98547566,0.90621346,0.9972114,0.93679404,0.98786253,0.9988668,0.84362048,0.88035208,0.69394815,0.64738327,0.89744627,0.82284719
Group5 - Group5,0.73060546,0.99009108,0.9784762,0.99561423,0.99927626,0.99612004,0.99462956,0.99227595,0.96733916,0.99865437,0.98130548,0.997159,0.99973869,0.85762453,0.87895501,0.73559183,0.77254045,0.95513743,0.96386105
Group5 - Group6,0.69289445,0.92184794,0.82679795,0.91650176,0.98951353,0.91636437,0.98353088,0.98755646,0.93718576,0.99829113,0.95728409,0.99244159,0.99914062,0.85051769,0.88208318,0.68871778,0.66988492,0.92360681,0.86725622
Group6 - Group6,0.69846965,0.98171865,0.95303866,0.99154961,0.99868909,0.99136066,0.99004924,0.99143136,0.96597421,0.99839139,0.97354043,0.99387324,0.99956018,0.85009062,0.89270979,0.70876926,0.79755712,0.95630032,0.94519275
